GO	Genes
GO:0000178	Glyma.01G053700
GO:0043565	Glyma.01G053800
GO:0006355	Glyma.01G053800
GO:0003700	Glyma.01G053800
GO:0008152	Glyma.01G053900
GO:0045905	Glyma.01G054000
GO:0045901	Glyma.01G054000
GO:0043022	Glyma.01G054000
GO:0006452	Glyma.01G054000
GO:0003746	Glyma.01G054000
GO:0003723	Glyma.01G054000
GO:0051301	Glyma.01G054200
GO:0032955	Glyma.01G054200
GO:0009073	Glyma.01G054500
GO:0004106	Glyma.01G054500
GO:0003677	Glyma.01G054950
GO:0005515	Glyma.01G055000
GO:0005975	Glyma.01G055200
GO:0004553	Glyma.01G055200
GO:0016020	Glyma.01G055700
GO:0006820	Glyma.01G055700
GO:0005452	Glyma.01G055700
GO:0055114	Glyma.01G056100
GO:0016491	Glyma.01G056100
GO:0005515	Glyma.01G056300
GO:0043565	Glyma.01G056800
GO:0006355	Glyma.01G056800
GO:0003700	Glyma.01G056800
GO:0055114	Glyma.01G057100
GO:0051287	Glyma.01G057100
GO:0016616	Glyma.01G057100
GO:0005975	Glyma.01G057200
GO:0004553	Glyma.01G057200
GO:0008168	Glyma.01G057500
GO:0006281	Glyma.01G057801
GO:0003678	Glyma.01G057801
GO:0000723	Glyma.01G057801
GO:0019904	Glyma.01G058000
GO:0071705	Glyma.01G058500
GO:0022904	Glyma.01G058600
GO:0016020	Glyma.01G058600
GO:0016758	Glyma.01G059450
GO:0008152	Glyma.01G059450
GO:0007165	Glyma.01G060300
GO:0004386	Glyma.01G060700
GO:0055114	Glyma.01G061100
GO:0020037	Glyma.01G061100
GO:0016705	Glyma.01G061100
GO:0005506	Glyma.01G061100
GO:0006468	Glyma.01G061500
GO:0005524	Glyma.01G061500
GO:0004672	Glyma.01G061500
GO:0042274	Glyma.01G061900
GO:0005975	Glyma.01G062000
GO:0042558	Glyma.01G062200
GO:0003676	Glyma.01G062300
GO:0006457	Glyma.01G062300
GO:0003755	Glyma.01G062300
GO:0055114	Glyma.01G062400
GO:0048038	Glyma.01G062400
GO:0009308	Glyma.01G062400
GO:0008131	Glyma.01G062400
GO:0005507	Glyma.01G062400
GO:0005515	Glyma.01G062900
GO:0006468	Glyma.01G062900
GO:0005524	Glyma.01G062900
GO:0004672	Glyma.01G062900
GO:0030244	Glyma.01G063000
GO:0016866	Glyma.01G063000
GO:0008168	Glyma.01G063100
GO:0007275	Glyma.01G063500
GO:0005634	Glyma.01G063700
GO:0003677	Glyma.01G063700
GO:0033180	Glyma.01G064050
GO:0015991	Glyma.01G064050
GO:0015078	Glyma.01G064050
GO:0006355	Glyma.01G064100
GO:0005634	Glyma.01G064100
GO:0003700	Glyma.01G064100
GO:0046983	Glyma.01G064100
GO:0003677	Glyma.01G064100
GO:0046983	Glyma.01G064200
GO:0003677	Glyma.01G064200
GO:0006355	Glyma.01G064200
GO:0005634	Glyma.01G064200
GO:0003700	Glyma.01G064200
GO:0016597	Glyma.01G064600
GO:0008152	Glyma.01G064600
GO:0005515	Glyma.01G064800
GO:0008236	Glyma.01G065400
GO:0006508	Glyma.01G065400
GO:0070008	Glyma.01G065500
GO:0004252	Glyma.01G065500
GO:0006508	Glyma.01G065500
GO:0008236	Glyma.01G065600
GO:0006508	Glyma.01G065600
GO:0004252	Glyma.01G065600
GO:0043531	Glyma.01G065800
GO:0042545	Glyma.01G066000
GO:0030599	Glyma.01G066000
GO:0005618	Glyma.01G066000
GO:0042545	Glyma.01G066100
GO:0030599	Glyma.01G066100
GO:0005618	Glyma.01G066100
GO:0042545	Glyma.01G066300
GO:0030599	Glyma.01G066300
GO:0005618	Glyma.01G066300
GO:0046983	Glyma.01G066600
GO:0016773	Glyma.01G067000
GO:0016758	Glyma.01G067100
GO:0008152	Glyma.01G067100
GO:0016788	Glyma.01G067200
GO:0006351	Glyma.01G067300
GO:0003899	Glyma.01G067300
GO:0003677	Glyma.01G067300
GO:0055085	Glyma.01G067600
GO:0016021	Glyma.01G067600
GO:0005515	Glyma.01G067900
GO:0051082	Glyma.01G068000
GO:0006950	Glyma.01G068000
GO:0006457	Glyma.01G068000
GO:0005524	Glyma.01G068000
GO:0042545	Glyma.01G068100
GO:0030599	Glyma.01G068100
GO:0005618	Glyma.01G068100
GO:0055114	Glyma.01G068200
GO:0016491	Glyma.01G068200
GO:0046983	Glyma.01G068600
GO:0043565	Glyma.01G069300
GO:0006355	Glyma.01G069300
GO:0003700	Glyma.01G069300
GO:0008283	Glyma.01G069400
GO:0008083	Glyma.01G069400
GO:0005576	Glyma.01G069400
GO:0005524	Glyma.01G069500
GO:0055114	Glyma.01G070200
GO:0020037	Glyma.01G070200
GO:0006979	Glyma.01G070200
GO:0004601	Glyma.01G070200
GO:0016301	Glyma.01G070300
GO:0008152	Glyma.01G070300
GO:0005524	Glyma.01G070300
GO:0016740	Glyma.01G070400
GO:0008152	Glyma.01G070400
GO:0005542	Glyma.01G070400
GO:0030976	Glyma.01G070700
GO:0003824	Glyma.01G070700
GO:0008295	Glyma.01G071300
GO:0006597	Glyma.01G071300
GO:0004014	Glyma.01G071300
GO:0005515	Glyma.01G071700
GO:0006468	Glyma.01G071700
GO:0005524	Glyma.01G071700
GO:0004672	Glyma.01G071700
GO:0006629	Glyma.01G071800
GO:0005515	Glyma.01G072000
